Restaurant Name,Cuisines,Address,City,Postcode,Phone Number,Reviews,Average Review
Subway - Paisley Road West,"Sandwiches, Lunch, Halal",468-470 Paisley Road West,Glasgow,G51 1PX,2039126648,4,4
Little Buddha,"Chinese, Thai",571 Duke Street,Glasgow,G31 1PY,1415548288,1128,5
Burger King Sauchiehall Street,"Burgers, American",108 Renfield Street,Glasgow,G2 1NH,2039126648,372,4
Subway - Silverburn,"Sandwiches, Lunch","Unit Z2,silverburn shopping centre; cowglen Road",Glasgow,G53 6AG,1418819582,17,5.5
Spice Magic,"Indian, Italian",37 Dalmarnock Rd,Lanarkshire,G40 4LA,1415567001,2998,5
KFC Govan,"Chicken, Halal",382 Helen Street,Glasgow,G51 3RN,2039126648,866,4
KFC Glasgow - Sauchiehall Street,"Chicken, Halal","437a Sauchiehall St, Strathclyde",Glasgow,G2 3LG,2039126648,327,3.5
New Oriental Express,"Chinese, Vegan",155 Springburn Way,Glasgow,G21 1DT,1415588422,163,5
KFC Rutherglen,Chicken,5 Dalmarnock Road,Rutherglen,G73 1NY,2039126648,481,4
KFC Forge,Chicken,Forge Retail Park,Glasgow,G31 4EB,2039126648,674,4.5
The Woks Cookin,"Chinese, Oriental",73 TollCross Road,Glasgow,G31 4UG,1415508886,1009,5
Panda House Restaurant,"Chinese, Oriental",665-667 Pollokshaws Road,Glasgow,G41 2AB,1414243200,32,5
Lemon Tree,"Chinese, Oriental",119-121 Great Western Road,Glasgow,G4 9AH,1413311678,124,4
Marmaris,"Indian, Kebab",285 Duke Street,Glasgow,G31 1HX,1415560000,1069,5
Spice Grill,"Pizza, Indian",162 Abercromby Street,Glasgow,G40 2SA,1415508866,948,5
Temaki,"Japanese, Sushi",113 Hope Street,Glasgow,G2 6LL,1412481869,1285,5
Wing Rush,"Chicken, Burgers, Halal",26 Minard Road,Glasgow,G41 2HN,1416324922,224,5.5
Scoops 'n' Treats,"Desserts, Ice Cream",562 Alexandra Parade,Glasgow,G31 3BP,1415546255,134,4
Pickled Ginger,"Japanese, Sushi",512 St Vincent Street,Glasgow,G3 8XZ,1413288941,3064,5
The Quay China Garden,"Chinese, Thai",256 Paisley Road,Glasgow,G5 8NG,1414293282,331,4
Chicken Choice The Home Of Fried Chicken,"American, Chicken",240-242 Paisley Road West,Glasgow,G51 1BU,1414199999,22,5
"Anns Fry Fish and Chip Shop, Pizzas and Kebabs","Fish & Chips, Pizza","196 Crown Street,",Glasgow,G5 9XS,1414290681,682,4.5
New Gandhi Restaurant,"Indian, Curry, Halal",441 Victoria Road,Glasgow,G42 8RW,1414238800,1122,5
Tea Leaf,"Chinese, Oriental",292 Duke Street,Glasgow,G31 1RZ,1415501733,523,5
Dario Pizzeria,"Pizza, Pasta",114 Queen Margret Drive,Glasgow,G20 8NZ,1419453603,428,5
Little Canteen,"Chinese, Oriental",1164 Argyle Street,Glasgow,G3 8TD,1413399355,854,5
Munch Kings,"Burgers, Pizza, Halal",15 Paisley Road West,Glasgow,G51 1LF,1414201919,86,5.5
Anmol Spice,"Indian, Pizza, Halal",71 Old Castle Road,Glasgow,G44 5TG,1416331272,1035,5
Grillicious Mediterranean,"Italian, Pizza",643 Dumbarton Road,Glasgow,G11 6HZ,1413377077,2618,4.5
Swallow Cafe,"Kebab, Fish & Chips",582 Alexandra Parade,Glasgow,G31 3BP,1415541490,1333,5
Italian Pizzaria,"Pizza, Fast Food, Halal",1 Salkeld Street,Glasgow,G5 8HE,1412371670,144,4.5
"Tartan Fish, Chips & Pizza","Fish & Chips, Pizza",352 Paisley Road West,Glasgow,G51 1BG,1413289419,1216,4.5
Village Curry House,"Indian, Curry",129 Nelson Street,Glasgow,G5 8DZ,1414294610,688,4.5
Newlands Cafe,"Breakfast, Ice Cream",262 Kilmarnock Road,Glasgow,G43 2XS,2039126648,70,5.5
Home Style Authentic Indian Cuisine,"Curry, Indian, Halal",470 Paisley Road,Glasgow,G5 8RE,1414292234,2593,5.5
EL PERRO NEGRO,"American, Burgers",966 Argyle Street,Glasgow,G3 8LU,2039126648,331,5
Neptune Fish & Chicken Bar,"Fish & Chips, Kebab",6 Whitehill Street,Glasgow,G31 2LJ,1415510168,194,5
Leo's Grill,"American, Milkshakes, Halal",1456 Paisley Road West,Glasgow,G52 1SR,1418836484,1623,4.5
Balti Club,"Indian, Curry, Halal",66 Woodlands Road,Glasgow,G3 6HA,1413325495,1203,4.5
Cailins Sushi Bar & Takeaway,"Japanese, Sushi",1136 Argyle Street,Glasgow,G3 8TD,1413348637,1602,5
Chunky Chicken,"Burgers, Chicken, Halal",532 Sauchiehall Street,Glasgow,G2 3LX,1413321772,265,4
Natural Spice,"Indian, Pizza",65 James Street,Bridgeton,G40 1BZ,1415561373,312,5
Nuku Nuku,"Japanese, Sushi, Halal",189 Hope Street,Glasgow,G2 2UL,1412616258,145,5.5
The Pizza Factory,"Pizza, Burgers, Halal",59 Kingston Street,Glasgow,G5 8BJ,1413285580,431,5
Minar's Kebab Inn,"Kebab, Indian, Halal",442 Duke Street,Glasgow,G31 1QL,1415564417,135,4.5
Syrian Pie,"Pizza, Vegetarian",211 Wallace Street,Glasgow,G5 8NT,1414291719,81,5
Master Chef,"Indian, Kebab, Halal",643 Dumbarton Road,Glasgow,G11 6HZ,7405503979,132,4.5
G's Fish & Chips,"Fish & Chips, Burgers, Halal",132 Nelson Street,Glasgow,G5 8EJ,1414294609,1778,5
Chakwal Tandoori,"Indian, Pizza, Halal",94 Springburn way,Glasgow,G21 1SL,1415583535,1067,5
Super Cook Chinese,"Chinese, Noodles",31 Dalmarnock Road,Glasgow,G40 4LA,1415563399,475,4.5
MacDonners,"Indian, Pizza, Halal",915 Springfield Road,Glasgow,G31 4HZ,1415563030,760,5
The Red Tiffin,"Indian, Pizza, Halal",484 Duke Street,Glasgow,G31 1QF,1415544555,244,5.5
Piri Amor,"Peri Peri, Chicken, Halal",1 Kay Street,Glasgow,G21 1JY,1415587070,81,5.5
NY Slice,"Pizza, American",309a Sauchiehall Street,Glasgow,G2 3HW,1413786610,12,5.5
Sweet World,"Ice Cream, Cakes, Halal",121a Royston Road,Glasgow,G21 2QN,1412375910,129,5.5
American Pizza Co,"Pizza, Burgers",253 Gallow Gate,Glasgow,G4 0TP,1415521448,886,3.5
Tasty House,"Chinese, Oriental",90-92 Royston Road,Glasgow,G21 2NT,1415641301,453,5
Cookiez n Creamz,"Desserts, Ice Cream, Halal",33 Nelson Street,Glasgow,G5 8DZ,1412309151,119,5
Q-X Queens Cross Fast Food,"Curry, Indian",541 Maryhill Road,Glasgow,G20 7UJ,1419461159,72,5.5
American BBQ & Burger Company,"American, Burgers",114 Queen Margret Drive,Glasgow,G20 8NZ,1419453603,387,4.5
Central Café,"Fish & Chips, Burgers",27 Saltmarket,Glasgow,G1 5NA,1415521719,130,5.5
3 In 1 Xtra,"Indian, Pizza, Halal",67-69 Elmbank Street,Glasgow,G2 4PQ,1413324501,1168,3.5
Mian Shamy,"Indian, Pizza, Halal",291 St Georges Road,Glasgow,G3 6JQ,1413532166,752,5
Garngad Takeaway,"Indian, Pizza",132 Royston Road,Glasgow,G21 2PA,0141 552 5060,268,4.5
West End Fish Bar,"Fish & Chips, Pizza",146 Woodlands Road,Glasgow,G3 6LF,1413327390,32,5
Pizzburg,"Pizza, Burgers",523 Sauchiehall Street,Glasgow,G3 7PQ,1415738675,47,5
Toni's Pizzeria,"Italian, Authentic Pizza",23 Gibson Street,Glasgow,G12 8NU,1413393933,351,5
Yellow Bird Chippy,"Fish & Chips, Pizza",39 Paisley Road West,Govan,G51 1LG,1412587288,242,5.5
Thairiffic,"Thai, Vegan, Halal",303 Sauchiehall Street,Glasgow,G2 3HQ,1413323000,21,5
Homewok Takeaway,"Chinese, Noodles",101 Byres Road,Glasgow,G11 5HW,1413348433,837,5
Catch Fish & Chips,"Fish & Chips, Vegan",27 Gibson Street,Glasgow,G12 8NU,0141 370 8181,14,5
Subway - 38 Herriet Street,"Sandwiches, Lunch, Halal",38 Herriet Street,Glasgow,G41 2JY,2039126648,14,4
Barbeque King,"Italian, Indian",488 Great Western Road,Glasgow,G12 8EW,1413571020,815,4
G's Fish and Chips,Fish & Chips,648 Cathcart Road,Glasgow,G42 8AA,0141 636 3801,14,4
Sakura,"Japanese, Sushi",1342 Maryhill Road,Glasgow,G20 9DG,1419469555,27,5.5
Paradise Restaurant,"Persian, Grill",411-413 Great Western Road,Glasgow,G4 9JA,1413392170,189,5.5
L'Aquila,"Pizza, Chicken",44 Dundas Street,Glasgow,G1 2AQ,1412580397,4,6
Flavas Ice Cream & Desserts,"Desserts, Ice Cream",110 Woodlands Road,Glasgow,G3 6HB,1413327333,199,4
NYC Bar and Grill,"American, Burgers",185 Hope Street,Glasgow,G2 2UL,1413532913,36,5.5
Taco Mazama,"Mexican, Burritos",6 Renfield Street,Glasgow,G2 5AL,1412488940,234,4.5
Peri Peri Hub,"Peri Peri, Chicken, Halal",253 Gallowgate,Glasgow,G4 0TP,1415526677,75,4
Zaytun Restaurant,"Lebanese, Kurdish, Halal",452 Cathcart Road,Glasgow,G42 7BZ,1414230230,55,5
Stacks - Glasgow,Burgers,256 Springfield Quay,Glasgow,G5 8NG,2039126648,13,5
Baffo,"Pizza, Pasta",1377-1379 Argyle Street,Glasgow,G3 8AF,1415830000,91,5
MooBoo,"Bubble Tea, Desserts",Saint Enoch Shopping Centre,Glasgow,G1 4BW,2039126648,3,4
Peri Peri Bites,"Peri Peri, Chicken, Halal",339 Dumbarton Road,Glasgow,G11 6AL,1413371059,17,4
Five Star Takeaway,"Turkish, Italian",219 Saracen Street,Glasgow,G22 5JW,1412373303,23,5.5
Subway - Hyndland,"Sandwiches, Subways",33 Clarence Drive,Glasgow,G12 9QN,2039126648,22,3
Subway - Cowcaddens,"Sandwiches, Lunch",83-85 Cambridge Street,Glasgow,G3 6RU,2039126648,18,4.5
Palomino,"Pizza, Burgers",207 Bath Street,Glasgow,G2 4HZ,1412219444,25,5.5
Naughty Burger,"Burgers, American",23-25 Gibson Street,Glasgow,G12 8NU,1413708181,311,5
Chilli Cottage,"Pizza, Kebab",404 Paisley Road West,Glasgow,G51 1BE,7589459492,154,5
Red Pepper,"Gourmet, Desserts, Halal",32 St. Andrews Road,Glasgow,G41 1PF,1414292121,816,3.5
Subway - Alexandra Parade,"Sandwiches, Lunch",433 Alexandra Parade,Glasgow,G31 3AD,2039126648,17,3.5
Spice Routes,"Indian, Italian, Halal",955 Duke Street,Glasgow,G31 1LZ,1415504200,387,4.5
Karahi Palace,"Indian, Pizza",51-53 Nelson Street,Glasgow,G5 8DZ,1414295442,411,4.5
Masala Twist,"Indian, Curry",261 Hope Street,Glasgow,G2 3PS,1413326002,157,5
La Rotunda Italian,"Italian, Pizza","Ground Floor, 28 Tunnel Street",Glasgow,G3 8HL,1418470880,1064,4.5
La Casa,"Italian, Pizza",King's Place,Glasgow,G22 6LL,1413363355,78,5
Dal Pizzaiolo,"Pasta, Pizza",1082 Argyle Street,Glasgow,G3 8LY,1412210022,12,4.5
Panda Chinese Cuisine,"Chinese, Oriental, Halal","Springfield Quay, Paisley Road",Glasgow,G5 8NP,1414290988,773,4.5
Subway - 107 Union St,"Sandwiches, Lunch",107 Union Street,Glasgow,G1 3TA,2039126648,10,4
Subway - 11 St Vincent Place,"Sandwiches, Lunch",11 Saint Vincent Place,Glasgow,G1 2DW,2039126648,15,4.5
Subway - 16 High Street,"Sandwiches, Lunch",16 High Street,Glasgow,G1 1NL,2039126648,12,4
Subway - Cardonald,Sandwiches,1832 Paisley Road West,Glasgow,G52 3TW,2039126648,72,4.5
Amalfi,Italian,148 West Nile Street,Glasgow,G1 2RQ,1413323999,8,4.5
Sugar Rush,"Desserts, Ice Cream, Halal",32G Saint Andrews Road,Glasgow,G41 1PF,1414180089,81,3.5
Coro the Chocolate Cafe,"Desserts, Crepes",241 Sauchiehall Street,Glasgow,G2 3EZ,2039126648,54,5
Spicy Fusion,"Indian, Kebab, Halal",186 London Road,Glasgow,G40 1PB,1415531319,990,5
India Quay,"Indian, Curry, Halal",181 Finnieston Street,Glasgow,G3 8HE,1412211616,138,5.5
Yummia,"Pakistani, Desserts, Halal",412 Victoria Road,Glasgow,G42 8YS,2039126648,29,5.5
Zizo Spices 4 U,"Indian, Curry, Halal",188 Bellfield Street,Glasgow,G31 1RQ,1415545000,926,5.5
Subway - Sauchiehall Street,Sandwiches,293 Sauchiehall Street,Glasgow,G2 3HQ,2039126648,4,3
Subway - Nelson Mandela Place,Sandwiches,11 Nelson Mandela Place,Glasgow,G2 1QY,2039126648,10,5.5
Trevi Italian Cuisine,"Italian, Pizza, Halal",9 Lochleven Road,Glasgow,G42 9JU,1416493802,125,5
Pomo,"Italian, Pasta",337 Paisley Road West,Glasgow,G51 1LU,1413576666,833,5
Riccardos,"Pizza, Italian",512 St Vincent Street,Glasgow,G3 8XZ,1418470880,260,3.5
Tesoro Mio,"Italian, Pasta",257 High Street,Glasgow,G4 0QR,1415488769,148,5
Tasty Bite,"Pizza, Indian, Halal",376 Cumbernauld Road,Glasgow,G31 3NN,1415548450,734,5
Steak & Cherry,"American, Mexican",516 Sauchiehall Street,Glasgow,G2 3LW,1413529893,27,4.5
Danny Singh's,"Indian, Curry",441a Victoria Road,Glasgow,G42 8RW,1414238800,78,5
Harry's Ice Cream,"Desserts, Milkshakes, Halal",535 Duke Street,Glasgow,G31 1DL,7412601563,82,4.5
La Casa del Caffe,"Italian, Café",995 Cathcart Road,Glasgow,G42 9XJ,1416326596,2,2.5
Desserts 4 U,"Desserts, Smoothies, Halal",220 Argyle Street,Glasgow,G2 8HA,7800938847,0,0
Moretto,"Pizza, Grill, Halal",71 Elmbank Street,Glasgow,G2 4PQ,1412307345,43,5
Bagel Mania,Bagels,195 Byres Road,Glasgow,G12 8TN,1413399704,11,5.5
Yen Sushi,"Sushi, Japanese",99 Hope Street,Glasgow,G2 6LL,1413288941,309,5
BRGR West End,"Burgers, American",526 Great Western Road,Glasgow,G12 8EL,1413391199,110,4.5
Franco The Continental,"Pizza, Burgers",177-179 James Street,Glasgow,G40 1BT,1415566700,104,4.5
Cossachok,"European, Russian",10 King Street,Glasgow,G1 5QP,2039126648,48,5.5
Punjabi Express,"Indian, Curry",115 Main Street,Glasgow,G40 1QD,1415510444,131,5
Las Iguanas Finlay House,"Latin American, Brazilian food","Finlay House, 16 -20 West Nile Street",Glasgow,G1 2PW,2039126648,15,4.5
Subway - Duke Street,Sandwiches,557 Duke Street,Glasgow,G31 1DL,2039126648,9,4
Steak Cattle & Roll,"Burgers, Vegetarian",396 Sauchiehall Street,Glasgow,G2 3JD,1412371919,90,5
Fusion Palace,"Chinese, Oriental",24 Cambridge Street,Glasgow,G2 3DZ,1413328999,328,5
Central Sushi,"Sushi, Japanese",3 West Nile Street,Glasgow,G1 2PR,1413288941,35,5.5
Cafe Coco,"Breakfast, Panini's, Halal",10 Albert Drive,Glasgow,G41 2PE,2039126648,72,5.5
Monterey Jack’s,"American, Pizza",71 Albion Street,Glasgow,G1 1NY,1418480253,48,4.5
Pizza Crolla,"Burgers, Desserts",99 Hope Street,Glasgow,G2 6LL,1412215881,330,3.5
Harvester Springfield Quay,"Burgers, Chicken",Springfield Quay,Glasgow,G5 8NP,2039126648,8,4.5
Wrapchic - Glasgow,"Indian, Halal",210 Castlebank Street,Glasgow,G11 6DN,1413372529,35,5.5
Sholeh,"Persian, Grill, Halal",146-148 Nelson Street,Glasgow,G5 8EJ,1414180796,350,5
Subway Hope Street,"Subways, Sandwiches",198 Hope Street,Glasgow,G2 2UG,2039126648,33,4
BLOC+,"Burgers, Vegan",117 Bath Street,Glasgow,G2 2SZ,1415746066,53,5
Burger Shack,"American, Burgers",1116 Argle Street,Glasgow,G3 8TD,1412215881,659,4
BirdBox - Glasgow,"Chicken, Burgers",The Quay Paisley Road Glasgow,Glasgow,G5 8NP,2038269530,87,5
Koolba,"Indian, Middle Eastern",109 Candleriggs,Glasgow,G1 1NP,2039126648,14,5
Blue Lagoon Fish & Chips,"Fish & Chips, British",244 Dumbarton Road,Glasgow,G11 6TU,7735632106,9,4.5
De Niro's 2,"Italian, American, Halal",1 Fenwick Road,Giffnock,G46 6AU,1416376297,8,5.5
The University Cafe and Take Away,"Fish & Chips, Desserts",83 Byres Road,Glasgow,G11 5HN,1413395217,41,5.5
Tokyo Oriental,"Japanese, Chinese",95 Kilmarnock Road,Glasgow,G41 3YR,1416321888,19,3
Athena,"Greek, Mediterranean, Halal",141 Elderslie Street,Glasgow,G3 7AW,1412043144,1296,5
Frankie & Benny's Glasgow,"American, Italian",The Quay,Glasgow,G5 8NP,2039126648,50,4.5
Manjaros Desserts,"Desserts, Halal","Unit C2, Springfield Quay, Paisley Rd",Glasgow,G5 8NP,7852769462,1,6
Tempo Tea Bar,"Bubble Tea, Drinks",83 Queen Street,Glasgow,G1 3DA,1413879519,7,5
Gourmet Burger Kitchen (GBK) - Glasgow,"Burgers, American",65 St Vincent Street,Glasgow,G2 5TF,2038269530,57,5
Indian Gallery Tandoori Restaurant,"Indian, Halal",450 Sauchiehall Street,Glasgow,G2 3JD,1413323355,205,5
BRGR City Centre,"Burgers, American",6 Royal Exchange Square,Glasgow,G1 3AB,1412484721,70,4.5
Creams Glasgow Quay,"Ice Cream, Desserts","Unit C1 The Quay Leisure Park, Glasgow",Glasgow,G5 8NP,1414180010,28,4
Mythos,"Greek, Mediterranean, Halal",161 Hope Street,Glasgow,G2 2UQ,1412043144,268,4
Stacks - Silverburn,Burgers,Unit E1,Glasgow,G53 6QR,2039126648,14,2.5
Subway Argyle Street,"Subways, Sandwiches",160 Argyle Street,Glasgow,G2 8BT,2039126648,18,4.5
La Vita George Square,"Italian, Pizza",161 Queen Street,Glasgow,G1 3BJ,1412483533,63,5.5
Mooboo,"Bubble Tea, Desserts",Buchanan Galleries Shopping Centre,Glasgow,G1 2FF,2039126648,4,5.5
The Chicken Place,"Peri Peri, Burgers, Halal",162 Albert Drive,Glasgow,G41 2NG,1412584172,358,4
Tandoori Choice (New),"Indian, Kebab",800 Springfield Road,Glasgow,G31 4HL,1415567314,16,4.5
KFC Glasgow - St Enochs Shopping Centre,Chicken,St Enoch's Shopping Centre Food Court,Glasgow,G1 4BW,2039126648,17,4.5
Shilling Brewing Co.,"Pizza, Italian",92 West George Street,Glasgow,G2 1PJ,1413531654,11,4.5
Bella Italia Glasgow Sauchiehall,"Italian, Pizza",47-49 Sauchiehall Street,Glasgow,G2 3AT,2039126648,8,4
Obsession Of India,"Indian, Curry, Halal",25 High Street,Glasgow,G1 1LX,1415520700,230,5.5
KFC Braehead,Chicken,9 Braille Crescent,Renfrew,PA4 0DJ,2039126648,305,4
Bag ó Nails,"Burgers, Pizza",165 Dumbarton Road,Glasgow,G11 6AA,1414659920,26,4.5
Tinto Tapas Bar,Spanish,138 Battlefield Road,Glasgow,G42 9JT,1416366838,15,5
Strip Joint,"Pizza, Burgers",956 Argyle Street,Glasgow,G3 8LU,2039126648,18,4
Decent Tandoori,"Indian, Curry, Halal",55 Woodlands Road,Glasgow,G3 6ED,1413530572,37,5
Tandoori Grill House,"Pizza, Kebab, Halal",164 Darnley Street,Glasgow,G41 2LL,1414237138,6,5
Wagah Grill House,"Mediterranean, American, Halal",58 Howard Street,Glasgow,G1 4EE,1413280805,30,5.5
Blé Coffee Stories,"Café, Greek",55 Saint Enoch Square,Glasgow,G1 4BW,1412486196,0,0
YO! Sushi - Glasgow Silverburn,"Sushi, Japanese","Silverburn Shopping Centre, Barrhead Road",Glasgow,G53 6QR,0141 555 0042,85,5
YO! Sushi - Glasgow Braehead,"Sushi, Japanese","Intu Braehead Shopping Centre, Kings Inch Road",Glasgow,G51 4BP,01414 132 002,58,5
Greggs - Victoria Road,"Breakfast, Sandwiches",401 Victoria Road,Glasgow,G42 8RW,read what this restaurant has to say about allergies,108,4.5
Star Coffee Patisserie,"Café, Breakfast, Halal",330 Victoria Road,Glasgow,G42 7RP,1414233207,7,4
Greggs - Dumbarton Road,"Breakfast, Sandwiches","392 Dumbarton Road, Partick",Glasgow,G11 6RZ,read what this restaurant has to say about allergies,103,4.5
Ninja Turtles Restaurant,"American, Pizza, Halal",911 Dumbarton Road,Glasgow,G11 6NB,1412373434,1689,4.5
Subway - Forge Shopping Centre,"Sandwiches, Lunch",Gallowgate,Glasgow,G31 4EB,2039126648,9,3.5
Boston Burgers & Pizzeria,"Burgers, Pizza, Halal",337 Paisley Road West,Glasgow,G51 1LU,1412582929,195,5.5
Spice Box,"Indian, Fast Food, Halal",478 Sauchiehall Street,Glasgow,G2 3LW,7542841542,237,2.5
Firehouse Grill,"American, Burgers",948 Govan Road,Glasgow,G51 3AF,7835663770,0,0
Cafe Milano,"Italian, Panini's",58 West Campbell Street,Glasgow,G2 6PZ,1412290130,8,6
Tiffany's Cafe,"Café, Breakfast",33 Glassford Street,Glasgow,G1 1UG,1415481340,8,4.5
Mister Singh,"Indian, Halal",149 Elderslie Street,Glasgow,G3 7JR,0141 204 0186,13,5
Himalayan Dine,"Nepalese, Indian, Halal",71 Kilmarnock Road,Glasgow,G41 3YR,1416323395,78,5.5
La Fiorentina,"Italian, Pizza","2 Angel Building, 2 Paisley Road West",Glasgow,G51 1LE,1414201585,61,5
Grill Guru,"Grill, Peri Peri, Halal",48 Oswald Street,Glasgow,G1 4PL,1412218777,3,6
Subway - 40 Queen St,Sandwiches,40 Queen Street,Glasgow,G1 3DS,2039126648,0,0
COMFORTER IN THE CITY RESTAURANT,"African, Nigerian, Halal",50 Dundas Street,Glasgow,G1 2AQ,1413320031,0,0
Panini's Sandwich Bar,"Breakfast, Lunch",74 Waterloo Street,Glasgow,G2 7DA,0141-2045133,69,6
Continental Deli,"Breakfast, Lunch",503 Victoria Road,Glasgow,G42 8RL,1414238302,3,4
Heritage,"Café, Lunch, Halal",150 Battlefield Road,Glasgow,G42 9JT,1416323981,4,5
Philpotts Glasgow,"Sandwiches, Salads","81 Bothwell St, Glasgow",Glasgow,G2 6TS,1412489080,94,6
Koo-ee Cafe,"Brunch, Vegan",1 Old Castle Road,Glasgow,G44 4BN,1415541599,8,6
The Little Cafe,"Italian, Pizza",1361 Argyle Street,Glasgow,G3 8AF,07817 737471,26,5
Greggs - Gordon Street,"Breakfast, Sandwiches",64 Gordon Street,Glasgow,G1 3RS,read what this restaurant has to say about allergies,57,4.5
Via Italia,"Italian, Wraps",115 Union Street,Glasgow,G1 3TA,1159705682,87,5
Amore d'Italia,"Italian, Mediterranean",506 Alexandra Parade,Glasgow,G31 3BQ,7492981007,13,5
Burger King Springfield Quay,"Burgers, American",280 Paisley Road,Glasgow,G5 8NG,2039126648,512,4
Pastaio's,"Italian, Pizza, Halal",558 Paisley Road West,Glasgow,G51 1RF,1414190848,523,5.5
The Kent Fish and Chip Bar,Fish & Chips,218 Kent Road,Glasgow,G3 7HE,1412222800,2,3
New Golden Bell,"Chinese, Oriental",1204 Argyle Street,Glasgow,G3 8TJ,1413348114,1097,5
Deli Darbar,"Indian, Curry",476 Keppochhill Road,Glasgow,G21 1JE,1415720065,319,5
Bakers Delight,"Mediterranean, Lebanese, Halal",20 Forth Street,Glasgow,G41 2SS,1414295469,0,0
Gourmet House Chinese,"Chinese, Oriental, Halal",416 Cathcart Road,Glasgow,G42 7BZ,7930960306,868,5
The Montford Bar & Kitchen,"Burgers, Curry",23-27 Curtis Avenue,Glasgow,G44 4QD,1416166635,154,5
Subway - Glassford Street,Sandwiches,35 Glassford Street,Glasgow,G1 1UG,2039126648,2,6
Indian Village,"Indian, Curry, Halal",205 Main street,Glasgow,G40 1QH,1415548668,399,4.5
Ruby Roo,"Indian, Curry, Halal",337 Dumbarton Road,Glasgow,G11 6AL,1413373777,22,4.5
Val D’oro,Fish & Chips,12-14 London Road,Glasgow,G1 5NB,1415524323,19,5
Subway - 1093 Argyle St,"Sandwiches, Lunch",1093 Argyle Street,Glasgow,G3 8ND,2039126648,8,3
Silvano,"Italian, Pizza",476 Keppochhill Road,Glasgow,G21 1JE,1412585080,289,4.5
